template,event_type,service,platform,count,label_confidence,label_candidates
"<HOST> clusteragent[<NUM>]: info creating etcd client {""opid"": ""<CLUSTER_OP>"", ""endpoints"": [""<HOST>:<NUM>""], ""tls"": true, ""username"": """", ""timeout"": ""5s"", ""incomplete-password-refresh"": false}",timeout,unknown,esxi,1,1.0,"{""error"": 1}"
<HOST> iofiltervpd[<NUM>]: httpget:<NUM>:http not found error. filename: <URI_PATH>,permission_error,unknown,esxi,1,1.0,"{""error"": 1}"
"<HOST> clusteragent[<NUM>]: info creating etcd client {""opid"": ""<CLUSTER_OP>"", ""endpoints"": [""<HOST>:<NUM>""], ""tls"": true, ""username"": """", ""timeout"": ""5s"", ""incomplete-password-refresh"": false}",timeout,unknown,esxi,1,1.0,"{""error"": 1}"
"<HOST> clusteragent[<NUM>]: info creating etcd client {""opid"": ""<CLUSTER_OP>"", ""endpoints"": [""<HOST>:<NUM>""], ""tls"": true, ""username"": """", ""timeout"": ""5s"", ""incomplete-password-refresh"": false}",timeout,unknown,esxi,1,1.0,"{""error"": 1}"
"<HOST> clusteragent[<NUM>]: info creating etcd client {""opid"": ""<CLUSTER_OP>"", ""endpoints"": [""<HOST>:<NUM>""], ""tls"": true, ""username"": """", ""timeout"": ""5s"", ""incomplete-password-refresh"": false}",timeout,unknown,esxi,1,1.0,"{""error"": 1}"
"<HOST> clusteragent[<NUM>]: info creating etcd client {""opid"": ""<CLUSTER_OP>"", ""endpoints"": [""<HOST>:<NUM>""], ""tls"": true, ""username"": """", ""timeout"": ""5s"", ""incomplete-password-refresh"": false}",timeout,unknown,esxi,1,1.0,"{""error"": 1}"
"<HOST> hostd[<NUM>]: [originator@<NUM> sub=vmsvc.vm:/vmfs/volumes/<DATASTORE_ID>/<VM_NAME>/<VM_NAME>-<NUM>-<NUM>.vmx opid=<ID> sid=<ID> user=vpxuser:<no user>] file - failed to get objectid, '/vmfs/volumes/<DATASTORE_ID>/<VM_NAME>/<VM_NAME>-<NUM>-<NUM>.vmx': operation not supported (<NUM>)",error,Hostd,esxi,45,1.0,"{""error"": 45}"
"<HOST> clusteragent[<NUM>]: info creating etcd client {""opid"": ""<CLUSTER_OP>"", ""endpoints"": [""<HOST>:<NUM>""], ""tls"": true, ""username"": """", ""timeout"": ""5s"", ""incomplete-password-refresh"": false}",timeout,unknown,esxi,1,1.0,"{""error"": 1}"
"<HOST> clusteragent[<NUM>]: info creating etcd client {""opid"": ""<CLUSTER_OP>"", ""endpoints"": [""<HOST>:<NUM>""], ""tls"": true, ""username"": """", ""timeout"": ""5s"", ""incomplete-password-refresh"": false}",timeout,unknown,esxi,1,1.0,"{""error"": 1}"
<HOST> iofiltervpd[<NUM>]: httpget:<NUM>:http not found error. filename: <URI_PATH>,permission_error,unknown,esxi,1,1.0,"{""error"": 1}"
"<HOST> hostd[<NUM>]: [originator@<NUM> sub=statssvc.statscollector] calculated write i/o size <NUM> for scsi0:<NUM> is out of range -- <NUM>,prevbytes = <NUM> curbytes = <NUM> prevcommands = 275759014curcommands = <NUM>",permission_error,Hostd,esxi,1,1.0,"{""error"": 1}"
"<HOST> clusteragent[<NUM>]: info creating etcd client {""opid"": ""<CLUSTER_OP>"", ""endpoints"": [""<HOST>:<NUM>""], ""tls"": true, ""username"": """", ""timeout"": ""5s"", ""incomplete-password-refresh"": false}",timeout,unknown,esxi,1,1.0,"{""error"": 1}"
"<HOST> clusteragent[<NUM>]: info creating etcd client {""opid"": ""<CLUSTER_OP>"", ""endpoints"": [""<HOST>:<NUM>""], ""tls"": true, ""username"": """", ""timeout"": ""5s"", ""incomplete-password-refresh"": false}",timeout,unknown,esxi,1,1.0,"{""error"": 1}"
"<HOST> clusteragent[<NUM>]: info creating etcd client {""opid"": ""<CLUSTER_OP>"", ""endpoints"": [""<HOST>:<NUM>""], ""tls"": true, ""username"": """", ""timeout"": ""5s"", ""incomplete-password-refresh"": false}",timeout,unknown,esxi,1,1.0,"{""error"": 1}"
<HOST> iofiltervpd[<NUM>]: httpget:<NUM>:http not found error. filename: <URI_PATH>,permission_error,unknown,esxi,2,1.0,"{""error"": 2}"
"<HOST> clusteragent[<NUM>]: info creating etcd client {""opid"": ""<CLUSTER_OP>"", ""endpoints"": [""<HOST>:<NUM>""], ""tls"": true, ""username"": """", ""timeout"": ""5s"", ""incomplete-password-refresh"": false}",timeout,unknown,esxi,1,1.0,"{""error"": 1}"
